,Estimate Quality,Time,Velocity (km/s),Mass (kg),Charge (C),Radius (m),Trace Number
0,3,2021-02-12 20:39:03.608,4.25133,9.40548e-18,3.86648e-17,6.58212e-08,1
1,5,2021-02-12 20:39:00.122,6.166,4.03742e-17,3.49137e-16,1.06973e-07,2
2,4,2021-02-12 20:38:55.925,23.221400000000003,1.9252e-18,2.35859e-16,3.8791e-08,3
3,4,2021-02-12 20:38:54.696,23.153299999999998,1.94262e-18,2.36599e-16,3.89076e-08,4
4,5,2021-02-12 20:38:51.287,25.8176,2.9984e-18,4.54068e-16,4.49644e-08,5
5,5,2021-02-12 20:38:50.991,14.963899999999999,1.348e-17,6.85773e-16,7.42111e-08,6
6,4,2021-02-12 20:35:43.772,10.6187,9.03795e-18,2.31662e-16,6.49524e-08,7
7,5,2021-02-12 20:35:33.142,12.8835,1.61167e-17,6.08114e-16,7.87645e-08,8
8,1,2021-02-12 20:35:32.954,4.73184,4.80493e-17,2.44562e-16,1.13362e-07,9
9,1,2021-02-12 20:35:29.428,10.678700000000001,1.4924e-17,3.86653e-16,7.67716e-08,10
10,5,2021-02-12 20:35:27.646,4.23751,3.8342e-17,1.56421e-16,1.05147e-07,11
11,5,2021-02-12 20:35:26.673,8.58107,2.08274e-17,3.48431e-16,8.57927e-08,12
12,4,2021-02-12 20:35:24.668,15.640600000000001,3.31346e-18,1.84157e-16,4.64871e-08,13
13,5,2021-02-12 20:35:23.772,18.866,4.09768e-18,3.31358e-16,4.98982e-08,14
14,5,2021-02-12 20:35:23.610,3.92231,1.01961e-16,3.56384e-16,1.45675e-07,15
15,5,2021-02-12 20:35:12.598,8.62235,1.55167e-17,2.62236e-16,7.77747e-08,16
16,2,2021-02-12 20:35:10.930,4.70848,1.51787e-17,7.64529e-17,7.72058e-08,17
17,5,2021-02-12 20:35:08.658,6.53518,2.17577e-17,2.11355e-16,8.70515e-08,18
18,4,2021-02-12 20:35:06.988,51.9328,8.19564e-19,5.02468e-16,2.9181e-08,19
19,5,2021-02-12 20:35:01.818,5.938479999999999,4.86256e-17,3.89596e-16,1.13813e-07,20
20,5,2021-02-12 20:35:01.561,4.06348,2.38752e-16,8.95658e-16,1.93443e-07,21
